note,midi_number,pitch,octave,frequency_hz,dynamic,velocity_min,velocity_max,exists,aiff_path,wav_path,file_size_bytes,sample_rate,channels,bit_depth
Ab3,56,Ab,3,207.65,pp,1,55,True,pp/Piano.pp.Ab3.aiff,wav/pp/Piano.pp.Ab3.wav,6584450,44100,2,16
Ab3,56,Ab,3,207.65,mf,56,95,True,mf/Piano.mf.Ab3.aiff,wav/mf/Piano.mf.Ab3.wav,6836472,44100,2,16
Ab3,56,Ab,3,207.65,ff,96,127,True,ff/Piano.ff.Ab3.aiff,wav/ff/Piano.ff.Ab3.wav,7562070,44100,2,16
A3,57,A,3,220.0,pp,1,55,True,pp/Piano.pp.A3.aiff,wav/pp/Piano.pp.A3.wav,6480466,44100,2,16
A3,57,A,3,220.0,mf,56,95,True,mf/Piano.mf.A3.aiff,wav/mf/Piano.mf.A3.wav,5699206,44100,2,16
A3,57,A,3,220.0,ff,96,127,True,ff/Piano.ff.A3.aiff,wav/ff/Piano.ff.A3.wav,7523094,44100,2,16
Bb3,58,Bb,3,233.08,pp,1,55,True,pp/Piano.pp.Bb3.aiff,wav/pp/Piano.pp.Bb3.wav,6053438,44100,2,16
Bb3,58,Bb,3,233.08,mf,56,95,True,mf/Piano.mf.Bb3.aiff,wav/mf/Piano.mf.Bb3.wav,6324718,44100,2,16
Bb3,58,Bb,3,233.08,ff,96,127,True,ff/Piano.ff.Bb3.aiff,wav/ff/Piano.ff.Bb3.wav,6754438,44100,2,16
B3,59,B,3,246.94,pp,1,55,True,pp/Piano.pp.B3.aiff,wav/pp/Piano.pp.B3.wav,5661430,44100,2,16
B3,59,B,3,246.94,mf,56,95,True,mf/Piano.mf.B3.aiff,wav/mf/Piano.mf.B3.wav,6301554,44100,2,16
B3,59,B,3,246.94,ff,96,127,True,ff/Piano.ff.B3.aiff,wav/ff/Piano.ff.B3.wav,9550014,44100,2,16
C4,60,C,4,261.63,pp,1,55,True,pp/Piano.pp.C4.aiff,wav/pp/Piano.pp.C4.wav,5195362,44100,2,16
C4,60,C,4,261.63,mf,56,95,True,mf/Piano.mf.C4.aiff,wav/mf/Piano.mf.C4.wav,5453058,44100,2,16
C4,60,C,4,261.63,ff,96,127,True,ff/Piano.ff.C4.aiff,wav/ff/Piano.ff.C4.wav,6353718,44100,2,16
Db4,61,Db,4,277.18,pp,1,55,True,pp/Piano.pp.Db4.aiff,wav/pp/Piano.pp.Db4.wav,6389230,44100,2,16
Db4,61,Db,4,277.18,mf,56,95,True,mf/Piano.mf.Db4.aiff,wav/mf/Piano.mf.Db4.wav,5212702,44100,2,16
Db4,61,Db,4,277.18,ff,96,127,True,ff/Piano.ff.Db4.aiff,wav/ff/Piano.ff.Db4.wav,6713922,44100,2,16
D4,62,D,4,293.66,pp,1,55,True,pp/Piano.pp.D4.aiff,wav/pp/Piano.pp.D4.wav,4859750,44100,2,16
D4,62,D,4,293.66,mf,56,95,True,mf/Piano.mf.D4.aiff,wav/mf/Piano.mf.D4.wav,5197374,44100,2,16
D4,62,D,4,293.66,ff,96,127,True,ff/Piano.ff.D4.aiff,wav/ff/Piano.ff.D4.wav,6275758,44100,2,16
Eb4,63,Eb,4,311.13,pp,1,55,True,pp/Piano.pp.Eb4.aiff,wav/pp/Piano.pp.Eb4.wav,5556150,44100,2,16
Eb4,63,Eb,4,311.13,mf,56,95,True,mf/Piano.mf.Eb4.aiff,wav/mf/Piano.mf.Eb4.wav,5212702,44100,2,16
Eb4,63,Eb,4,311.13,ff,96,127,True,ff/Piano.ff.Eb4.aiff,wav/ff/Piano.ff.Eb4.wav,6938406,44100,2,16
E4,64,E,4,329.63,pp,1,55,True,pp/Piano.pp.E4.aiff,wav/pp/Piano.pp.E4.wav,5190070,44100,2,16
E4,64,E,4,329.63,mf,56,95,True,mf/Piano.mf.E4.aiff,wav/mf/Piano.mf.E4.wav,5141834,44100,2,16
E4,64,E,4,329.63,ff,96,127,True,ff/Piano.ff.E4.aiff,wav/ff/Piano.ff.E4.wav,8341658,44100,2,16
F4,65,F,4,349.23,pp,1,55,True,pp/Piano.pp.F4.aiff,wav/pp/Piano.pp.F4.wav,4210050,44100,2,16
F4,65,F,4,349.23,mf,56,95,True,mf/Piano.mf.F4.aiff,wav/mf/Piano.mf.F4.wav,4911526,44100,2,16
F4,65,F,4,349.23,ff,96,127,True,ff/Piano.ff.F4.aiff,wav/ff/Piano.ff.F4.wav,7682522,44100,2,16
Gb4,66,Gb,4,369.99,pp,1,55,True,pp/Piano.pp.Gb4.aiff,wav/pp/Piano.pp.Gb4.wav,4355070,44100,2,16
Gb4,66,Gb,4,369.99,mf,56,95,True,mf/Piano.mf.Gb4.aiff,wav/mf/Piano.mf.Gb4.wav,4355518,44100,2,16
Gb4,66,Gb,4,369.99,ff,96,127,True,ff/Piano.ff.Gb4.aiff,wav/ff/Piano.ff.Gb4.wav,6231086,44100,2,16
G4,67,G,4,392.0,pp,1,55,True,pp/Piano.pp.G4.aiff,wav/pp/Piano.pp.G4.wav,4506022,44100,2,16
G4,67,G,4,392.0,mf,56,95,True,mf/Piano.mf.G4.aiff,wav/mf/Piano.mf.G4.wav,5537038,44100,2,16
G4,67,G,4,392.0,ff,96,127,True,ff/Piano.ff.G4.aiff,wav/ff/Piano.ff.G4.wav,6677270,44100,2,16
Ab4,68,Ab,4,415.3,pp,1,55,True,pp/Piano.pp.Ab4.aiff,wav/pp/Piano.pp.Ab4.wav,4528622,44100,2,16
Ab4,68,Ab,4,415.3,mf,56,95,True,mf/Piano.mf.Ab4.aiff,wav/mf/Piano.mf.Ab4.wav,4563750,44100,2,16
Ab4,68,Ab,4,415.3,ff,96,127,True,ff/Piano.ff.Ab4.aiff,wav/ff/Piano.ff.Ab4.wav,6372562,44100,2,16
A4,69,A,4,440.0,pp,1,55,True,pp/Piano.pp.A4.aiff,wav/pp/Piano.pp.A4.wav,3963726,44100,2,16
A4,69,A,4,440.0,mf,56,95,True,mf/Piano.mf.A4.aiff,wav/mf/Piano.mf.A4.wav,5289358,44100,2,16
A4,69,A,4,440.0,ff,96,127,True,ff/Piano.ff.A4.aiff,wav/ff/Piano.ff.A4.wav,6002902,44100,2,16
Bb4,70,Bb,4,466.16,pp,1,55,True,pp/Piano.pp.Bb4.aiff,wav/pp/Piano.pp.Bb4.wav,3932650,44100,2,16
Bb4,70,Bb,4,466.16,mf,56,95,True,mf/Piano.mf.Bb4.aiff,wav/mf/Piano.mf.Bb4.wav,4540954,44100,2,16
Bb4,70,Bb,4,466.16,ff,96,127,True,ff/Piano.ff.Bb4.aiff,wav/ff/Piano.ff.Bb4.wav,5262302,44100,2,16
B4,71,B,4,493.88,pp,1,55,True,pp/Piano.pp.B4.aiff,wav/pp/Piano.pp.B4.wav,4309374,44100,2,16
B4,71,B,4,493.88,mf,56,95,True,mf/Piano.mf.B4.aiff,wav/mf/Piano.mf.B4.wav,6023550,44100,2,16
B4,71,B,4,493.88,ff,96,127,True,ff/Piano.ff.B4.aiff,wav/ff/Piano.ff.B4.wav,6314734,44100,2,16
C5,72,C,5,523.25,pp,1,55,True,pp/Piano.pp.C5.aiff,wav/pp/Piano.pp.C5.wav,4065978,44100,2,16
C5,72,C,5,523.25,mf,56,95,True,mf/Piano.mf.C5.aiff,wav/mf/Piano.mf.C5.wav,4355518,44100,2,16
C5,72,C,5,523.25,ff,96,127,True,ff/Piano.ff.C5.aiff,wav/ff/Piano.ff.C5.wav,6470654,44100,2,16
Db5,73,Db,5,554.37,pp,1,55,True,pp/Piano.pp.Db5.aiff,wav/pp/Piano.pp.Db5.wav,4139554,44100,2,16
Db5,73,Db,5,554.37,mf,56,95,True,mf/Piano.mf.Db5.aiff,wav/mf/Piano.mf.Db5.wav,3803426,44100,2,16
Db5,73,Db,5,554.37,ff,96,127,True,ff/Piano.ff.Db5.aiff,wav/ff/Piano.ff.Db5.wav,5363442,44100,2,16
D5,74,D,5,587.33,pp,1,55,True,pp/Piano.pp.D5.aiff,wav/pp/Piano.pp.D5.wav,3256926,44100,2,16
D5,74,D,5,587.33,mf,56,95,True,mf/Piano.mf.D5.aiff,wav/mf/Piano.mf.D5.wav,3892178,44100,2,16
D5,74,D,5,587.33,ff,96,127,True,ff/Piano.ff.D5.aiff,wav/ff/Piano.ff.D5.wav,5379234,44100,2,16
Eb5,75,Eb,5,622.25,pp,1,55,True,pp/Piano.pp.Eb5.aiff,wav/pp/Piano.pp.Eb5.wav,3931126,44100,2,16
Eb5,75,Eb,5,622.25,mf,56,95,True,mf/Piano.mf.Eb5.aiff,wav/mf/Piano.mf.Eb5.wav,4795690,44100,2,16
Eb5,75,Eb,5,622.25,ff,96,127,True,ff/Piano.ff.Eb5.aiff,wav/ff/Piano.ff.Eb5.wav,5418214,44100,2,16
E5,76,E,5,659.26,pp,1,55,True,pp/Piano.pp.E5.aiff,wav/pp/Piano.pp.E5.wav,3870710,44100,2,16
E5,76,E,5,659.26,mf,56,95,True,mf/Piano.mf.E5.aiff,wav/mf/Piano.mf.E5.wav,4610354,44100,2,16
E5,76,E,5,659.26,ff,96,127,True,ff/Piano.ff.E5.aiff,wav/ff/Piano.ff.E5.wav,5710706,44100,2,16
F5,77,F,5,698.46,pp,1,55,True,pp/Piano.pp.F5.aiff,wav/pp/Piano.pp.F5.wav,4030014,44100,2,16
F5,77,F,5,698.46,mf,56,95,True,mf/Piano.mf.F5.aiff,wav/mf/Piano.mf.F5.wav,3197162,44100,2,16
F5,77,F,5,698.46,ff,96,127,True,ff/Piano.ff.F5.aiff,wav/ff/Piano.ff.F5.wav,5127310,44100,2,16
Gb5,78,Gb,5,739.99,pp,1,55,True,pp/Piano.pp.Gb5.aiff,wav/pp/Piano.pp.Gb5.wav,3808750,44100,2,16
Gb5,78,Gb,5,739.99,mf,56,95,True,mf/Piano.mf.Gb5.aiff,wav/mf/Piano.mf.Gb5.wav,3313002,44100,2,16
Gb5,78,Gb,5,739.99,ff,96,127,True,ff/Piano.ff.Gb5.aiff,wav/ff/Piano.ff.Gb5.wav,4688794,44100,2,16
G5,79,G,5,783.99,pp,1,55,True,pp/Piano.pp.G5.aiff,wav/pp/Piano.pp.G5.wav,3880486,44100,2,16
G5,79,G,5,783.99,mf,56,95,True,mf/Piano.mf.G5.aiff,wav/mf/Piano.mf.G5.wav,3446422,44100,2,16
G5,79,G,5,783.99,ff,96,127,True,ff/Piano.ff.G5.aiff,wav/ff/Piano.ff.G5.wav,5134114,44100,2,16
Ab5,80,Ab,5,830.61,pp,1,55,True,pp/Piano.pp.Ab5.aiff,wav/pp/Piano.pp.Ab5.wav,3902226,44100,2,16
Ab5,80,Ab,5,830.61,mf,56,95,True,mf/Piano.mf.Ab5.aiff,wav/mf/Piano.mf.Ab5.wav,2652906,44100,2,16
Ab5,80,Ab,5,830.61,ff,96,127,True,ff/Piano.ff.Ab5.aiff,wav/ff/Piano.ff.Ab5.wav,4390642,44100,2,16
A5,81,A,5,880.0,pp,1,55,True,pp/Piano.pp.A5.aiff,wav/pp/Piano.pp.A5.wav,3636646,44100,2,16
A5,81,A,5,880.0,mf,56,95,True,mf/Piano.mf.A5.aiff,wav/mf/Piano.mf.A5.wav,2756990,44100,2,16
A5,81,A,5,880.0,ff,96,127,True,ff/Piano.ff.A5.aiff,wav/ff/Piano.ff.A5.wav,4047782,44100,2,16
Bb5,82,Bb,5,932.33,pp,1,55,True,pp/Piano.pp.Bb5.aiff,wav/pp/Piano.pp.Bb5.wav,3009398,44100,2,16
Bb5,82,Bb,5,932.33,mf,56,95,True,mf/Piano.mf.Bb5.aiff,wav/mf/Piano.mf.Bb5.wav,3266662,44100,2,16
Bb5,82,Bb,5,932.33,ff,96,127,True,ff/Piano.ff.Bb5.aiff,wav/ff/Piano.ff.Bb5.wav,3664154,44100,2,16
B5,83,B,5,987.77,pp,1,55,True,pp/Piano.pp.B5.aiff,wav/pp/Piano.pp.B5.wav,3506390,44100,2,16
B5,83,B,5,987.77,mf,56,95,True,mf/Piano.mf.B5.aiff,wav/mf/Piano.mf.B5.wav,2256126,44100,2,16
B5,83,B,5,987.77,ff,96,127,True,ff/Piano.ff.B5.aiff,wav/ff/Piano.ff.B5.wav,5963926,44100,2,16
C6,84,C,6,1046.5,pp,1,55,True,pp/Piano.pp.C6.aiff,wav/pp/Piano.pp.C6.wav,2466378,44100,2,16
C6,84,C,6,1046.5,mf,56,95,True,mf/Piano.mf.C6.aiff,wav/mf/Piano.mf.C6.wav,3020362,44100,2,16
